,sample_size,kernel,weights,cor,res,time_outer,time_w,time_e
10,10,gaussian,"[ 0.06503021 -1.46147456 -0.46943081 -1.57211649 -8.19412669 -0.63334145
 -1.02515579  2.81097034  0.60911984 -0.8070141 ]","[0.14799463 0.1353116  0.16855894 0.08815249 0.16748772 0.11347669
 0.0804638  0.1396001  0.00971261 0.08127312]","[0.42600269 0.4323442  0.41572053 0.45592376 0.41625614 0.44326165
 0.4597681  0.43019995 0.49514369 0.45936344]","[0.01565123 0.04687357 0.04733491 0.03125048 0.0160439  5.16155696
 0.06294942 0.046875   0.16374469 0.04729486]","[0.00000000e+00 0.00000000e+00 1.56252384e-02 0.00000000e+00
 1.01542473e-03 3.13080859e+00 3.12809944e-02 1.56223774e-02
 1.32507801e-01 2.61538029e-02]","[0.         0.01562619 0.00903273 0.01562452 0.         1.45885086
 0.01562047 0.03125262 0.03123689 0.00551867]"
11,10,gaussian,"[-0.75350715  1.27412798  0.064829   -4.46256752 -2.63374432 -2.87994357
  2.82581045 -4.45337463  2.38736576  3.57619938]","[ 0.1450261   0.12826986  0.1334345   0.11208254  0.11645513  0.14186942
  0.0728899   0.00644734  0.04515231 -0.02660672]","[0.42748695 0.43586507 0.43328275 0.44395873 0.44177243 0.42906529
 0.46355505 0.49677633 0.47742385 0.51330336]","[0.03124738 0.07856679 0.07857394 0.23527789 3.0596621  3.67559266
 0.0896728  0.11083794 0.06192827 0.07856345]","[0.01562214 0.03124714 0.04530859 0.17274642 1.95339966 2.34641862
 0.04280376 0.079566   0.         0.04728127]","[0.         0.01604366 0.01764631 0.01562834 0.5442977  0.7786479
 0.         0.03127193 0.0156858  0.01562881]"
12,10,gaussian,"[ 0.50763219 -0.92376407 -0.94136369  5.06107405 -2.4323649  -3.57951194
 -5.65612835 -1.14579019 -0.19962033  3.85776244]","[ 0.15042823  0.07887226  0.15419753  0.14949342  0.0611103   0.09979657
  0.07603199 -0.01258407  0.02202675 -0.05544353]","[0.42478588 0.46056387 0.42290124 0.42525329 0.46944485 0.45010171
 0.461984   0.50629203 0.48898662 0.52772177]","[0.01563001 4.26696396 4.28355813 0.07856941 0.03124905 0.03165793
 0.04687548 0.03165746 0.04687142 0.06294608]","[0.         2.38666272 2.74317169 0.01562548 0.         0.00551438
 0.03124714 0.01501942 0.03124499 0.05392575]","[0.         1.39355588 0.9548068  0.01563025 0.         0.02614355
 0.01562834 0.01663804 0.01562643 0.        ]"
13,10,gaussian,"[-0.26224841 -2.96257913 -0.3498863   5.28558939 -3.8460524  -2.17431483
 -4.54837725  0.397814   -1.50084521  3.21216327]","[ 0.16177404  0.09514431  0.14520549  0.0694694   0.0452425   0.02600675
  0.16025461  0.05064104 -0.00254065  0.13687029]","[0.41911298 0.45242784 0.42739726 0.4652653  0.47737875 0.48699662
 0.41987269 0.47467948 0.50127033 0.43156486]","[0.01562357 2.95293999 0.04737091 0.03124905 0.04731679 0.07853508
 0.06252217 0.03168726 0.0468719  5.1469388 ]","[0.         1.87381887 0.02472258 0.         0.01564431 0.0316658
 0.04688954 0.00951767 0.01562381 4.18160629]","[0.         0.61002564 0.01562762 0.01567078 0.         0.03124952
 0.01563263 0.00652099 0.         0.52535439]"
14,10,gaussian,"[ 0.88488556  2.07820053 -2.35636453 -0.32779406 -7.08300957 -0.68960828
 -1.30457261  1.14208484 -0.10777938  0.23452487]","[0.17870203 0.14439257 0.20370814 0.08536586 0.04158539 0.05391098
 0.00489703 0.16666247 0.12354233 0.1191727 ]","[0.41064898 0.42780371 0.39814593 0.45731707 0.47920731 0.47304451
 0.49755148 0.41666877 0.43822883 0.44041365]","[0.03124809 1.34931731 0.03124619 0.0316689  0.04687476 0.07857037
 0.12542415 3.27899718 7.70421982 0.86334634]","[0.         0.61677289 0.         0.         0.         0.07857037
 0.12542415 2.17719674 6.3906014  0.40492487]","[0.         0.30592799 0.01561952 0.02264714 0.01562285 0.
 0.         0.62767982 0.75868917 0.43124294]"
15,10,gaussian,"[-0.42434622 -1.62891065 -0.60143371  2.57278496  0.0581168  -4.18484062
  1.40345797 -0.76743442 -3.22729088 -0.93926307]","[ 0.16119791  0.13758283  0.16279618  0.127537    0.13856697  0.09810729
  0.05589803  0.14231026 -0.00269168  0.09360891]","[0.41940104 0.43120859 0.41860191 0.4362315  0.43071652 0.45094636
 0.47205098 0.42884487 0.50134584 0.45319554]","[0.04687476 0.04680586 4.2362597  0.36110806 0.06250429 0.40845561
 0.64281297 0.04026413 0.0625298  0.11534858]","[0.01562619 0.0156343  2.9630549  0.325315   0.03125334 0.02014041
 0.06295419 0.01562524 0.03128672 0.07854652]","[0.         0.01551986 0.65714931 0.01562262 0.01562595 0.08406591
 0.0567987  0.01562095 0.01561809 0.01564622]"
16,10,gaussian,"[ 0.24597764 -0.5214755  -1.82528215  4.51353028  0.59623438  0.44709638
 -4.97508446 -2.0678969  -2.52148178 -6.10187204]","[0.13793591 0.13029403 0.15403611 0.15330296 0.11334815 0.05070728
 0.10922808 0.03756271 0.09965271 0.0691327 ]","[0.43103204 0.43485298 0.42298195 0.42334852 0.44332593 0.47464636
 0.44538596 0.48121864 0.45017364 0.46543365]","[0.03127694 4.47197652 0.09416032 0.06253147 0.06294084 0.10930681
 4.42474222 0.05491972 0.80044723 0.078053  ]","[0.03127694 2.90449643 0.04728985 0.0156498  0.05642128 0.04677725
 2.75008225 0.02364659 0.26915526 0.04680991]","[0.         1.01163864 0.03124571 0.01562977 0.         0.01565313
 0.98182392 0.01565146 0.52776504 0.01561403]"
17,10,gaussian,"[ 0.6529164   0.6574421  -2.31188262  0.65949072  0.22840566  3.02889904
 -0.82867785  2.07144598 -4.97436199 -3.51944898]","[0.07970432 0.12878499 0.11094145 0.06912836 0.12181018 0.13232669
 0.05744897 0.11316561 0.14319419 0.0255164 ]","[0.46014784 0.4356075  0.44452928 0.46543582 0.43909491 0.43383665
 0.47127552 0.4434172  0.42840291 0.4872418 ]","[1.24013042 4.36142302 0.06295347 0.18837595 4.58183575 0.10982561
 0.04729295 0.03124332 0.06243086 0.0629096 ]","[0.80910826 2.89417052 0.04430556 0.1258831  2.98250294 0.03124905
 0.00952077 0.01561856 0.0469017  0.03127217]","[0.01562953 0.90743995 0.01864791 0.03124356 1.03463483 0.04688096
 0.03125    0.01562476 0.01552916 0.03163743]"
18,10,gaussian,"[ 0.44483977 -0.54221151 -1.44317908 -2.40877018 -4.5791624   3.20794332
  5.56058993 -1.36681559 -2.2870561  -0.42009706]","[0.06735698 0.13322585 0.14454268 0.12536277 0.12285802 0.10086172
 0.04388908 0.11924839 0.07577783 0.03131725]","[0.46632151 0.43338708 0.42772866 0.43731862 0.43857099 0.44956914
 0.47805546 0.4403758  0.46211108 0.48434137]","[1.19277501 0.04686952 0.07858515 0.07856965 0.05040359 0.48867249
 2.99704099 3.78109121 0.04740834 0.04688072]","[0.83707285 0.         0.03128242 0.03127217 0.         0.394876
 2.51929021 2.49164724 0.02222967 0.01562166]","[0.         0.01562643 0.01604915 0.02865553 0.03126073 0.06251788
 0.12730551 0.60716367 0.00952864 0.01563191]"
19,10,gaussian,"[ 0.08985599  0.43566573 -2.02829144  0.56274019  3.34660595  1.35846835
  1.30022545 -0.5083779  -4.7302008  -6.20601852]","[0.06257912 0.06460688 0.19267286 0.15500586 0.11342605 0.10309322
 0.0822495  0.0004548  0.08757661 0.0922935 ]","[0.46871044 0.46769656 0.40366357 0.42249707 0.44328697 0.44845339
 0.45887525 0.4997726  0.4562117  0.45385325]","[0.86281943 0.92584658 0.03115082 0.0312717  1.23998928 0.06241441
 2.79313636 0.05140209 0.10571337 0.09478307]","[0.60842419 0.66346979 0.01562858 0.01564908 0.93991303 0.0468955
 1.8356998  0.03125143 0.08453751 0.09478307]","[0.         0.01562548 0.01552224 0.         0.03777742 0.
 0.27965498 0.         0.01565599 0.        ]"
20,10,gaussian,"[-0.34924488  1.98657207 -0.99282021 -2.57257884  4.63093097  0.77840529
  3.25478413 -3.4457952  -4.81958335 -0.08387309]","[0.13520308 0.12858935 0.10992381 0.16201813 0.13110727 0.11497977
 0.16652863 0.06868025 0.05811505 0.05973349]","[0.43239846 0.43570533 0.4450381  0.41899093 0.43444637 0.44251012
 0.41673569 0.46565988 0.47094247 0.47013325]","[0.03127408 3.04434013 0.03117228 0.04691601 0.04730654 0.03125048
 0.03478813 0.04687166 0.04730988 0.04687858]","[0.01564884 1.99635172 0.         0.01567197 0.02213931 0.01562715
 0.01914644 0.01562023 0.03166461 0.03124571]","[0.         0.55763578 0.01552105 0.         0.         0.
 0.01564169 0.015625   0.01564527 0.01563287]"
21,10,gaussian,"[-0.68072288  3.18699064 -1.4504523   1.49050651  5.38926262  1.24686291
 -1.29654628  1.90364447 -3.83771258  0.25923705]","[0.15023028 0.15730469 0.11076748 0.12244078 0.00763643 0.04463779
 0.10246148 0.0744713  0.11531621 0.11005391]","[0.42488486 0.42134765 0.44461626 0.43877961 0.49618179 0.47768111
 0.44876926 0.46276435 0.44234189 0.44497304]","[0.01565027 0.46290016 0.04689288 0.03166938 0.03127456 0.04688644
 0.04278851 0.07857776 0.03124785 0.06292391]","[0.         0.10978103 0.01562309 0.         0.         0.
 0.03127217 0.03679729 0.01562357 0.04628873]","[0.         0.3218646  0.0156455  0.         0.         0.01562333
 0.01151633 0.02615666 0.01562428 0.01663518]"
22,10,gaussian,"[-0.62850859 -0.5015081  -0.61206825  2.49737439  3.77246025  0.69863662
 -5.03640664  1.91933117 -5.03532356  1.00895608]","[0.17280457 0.09617093 0.09579619 0.00903732 0.13131892 0.081665
 0.09096389 0.13604793 0.04263862 0.00968078]","[0.41359772 0.45191453 0.4521019  0.49548134 0.43434054 0.4591675
 0.45451805 0.43197604 0.47868069 0.49515961]","[0.03124881 2.85556984 0.04686928 0.47518134 0.07857299 0.06293249
 0.09419847 0.04687643 0.0473125  0.06249547]","[0.01562428 1.88090181 0.0312438  0.30593801 0.07254982 0.01551628
 0.05646324 0.01562762 0.01562476 0.03124809]","[0.         0.5506289  0.01562548 0.13346291 0.         0.01614118
 0.01558638 0.01562357 0.01604033 0.        ]"
23,10,gaussian,"[-0.16829948  2.66775911 -2.30200357  4.81126004  3.46894756 -0.09925773
 -3.23856978  3.80094945 -2.32898013 -3.24020332]","[ 0.17060478  0.10595695  0.15246849  0.1665311   0.05478929  0.10662618
  0.19403116  0.10044394 -0.00924637  0.03145003]","[0.41469761 0.44702153 0.42376576 0.41673445 0.47260535 0.44668691
 0.40298442 0.44977803 0.50462319 0.48427498]","[0.02867007 0.03123951 3.23367071 0.04687905 0.04728556 2.87171555
 0.0393095  0.04686546 0.04689837 0.06293416]","[0.         0.         1.96487689 0.01562452 0.02013898 1.92601776
 0.00802922 0.04686546 0.0156436  0.05141878]","[0.         0.01561546 0.88474011 0.         0.         0.42805409
 0.01565385 0.         0.01562643 0.01151538]"
24,10,gaussian,"[ 0.55120972  0.25011387 -1.90039347  4.16595148  3.57236303  1.21211475
 -5.16100951  4.11283928 -4.37993753 -3.35769026]","[0.18228765 0.14768106 0.14538202 0.07999924 0.20683476 0.1484374
 0.11508795 0.11976565 0.07049535 0.10396573]","[0.40885617 0.42615947 0.42730899 0.46000038 0.39658262 0.4257813
 0.44245603 0.44011717 0.46475232 0.44801713]","[0.03125262 3.02837229 0.03125191 0.04727721 2.80852318 0.03124595
 0.03174448 0.03121305 0.07859635 0.03125024]","[0.00000000e+00 1.86092877e+00 0.00000000e+00 4.72772121e-02
 1.90947151e+00 0.00000000e+00 1.55353546e-03 1.55932903e-02
 7.40768909e-02 1.56195164e-02]","[0.         0.73868561 0.         0.         0.53363132 0.
 0.01562929 0.01561975 0.         0.01563072]"
25,10,gaussian,"[-1.07413269 -1.174457    0.43268596  0.16932644  5.79961144 -0.71279292
 -0.31361732  3.37534741 -4.24742613  3.60819474]","[0.17459412 0.0919524  0.16188923 0.09413853 0.17312152 0.20209271
 0.0234323  0.12064113 0.04170109 0.02528118]","[0.41270294 0.4540238  0.41905539 0.45293073 0.41343924 0.39895364
 0.48828385 0.43967943 0.47914946 0.48735941]","[0.0316658  3.2167449  0.04687834 0.06294394 0.04687381 0.66235685
 0.32942367 0.03678584 0.07853937 0.0785408 ]","[0.01563025 1.90966392 0.01563048 0.04079795 0.01562428 0.08758473
 0.03327346 0.02113891 0.0306375  0.04728913]","[0.         0.91344929 0.         0.         0.         0.53300905
 0.         0.         0.01562715 0.03125167]"
26,10,gaussian,"[-1.42477439  1.44458621 -1.41013692  3.15594017  3.12717146  0.53434181
 -1.08064584 -0.44650656 -4.84951629 -5.06048186]","[0.17030151 0.09486515 0.21061467 0.12708557 0.1913473  0.1702938
 0.08512977 0.08387795 0.13896798 0.06848692]","[0.41484924 0.45256742 0.39469267 0.43645721 0.40432635 0.4148531
 0.45743511 0.45806103 0.43051601 0.46575654]","[0.01563311 0.04427481 0.14108348 3.31033373 0.06295538 0.04687047
 3.60861492 0.10982084 4.38351345 0.04689646]","[0.         0.01302171 0.10981131 2.28271532 0.03127956 0.03124356
 3.14491463 0.06555223 2.86944222 0.03127503]","[0.         0.01562905 0.03127217 0.47029543 0.02214003 0.01562691
 0.03428221 0.01563001 0.86814642 0.01562142]"
27,10,gaussian,"[-0.08828445  1.07673072 -0.97966437  2.34638693  7.72285723 -2.20912919
 -3.73200871  3.31027125 -2.99918092 -2.13367751]","[0.17500237 0.19960725 0.17396994 0.07231637 0.22127477 0.0741382
 0.10832794 0.10867864 0.06563708 0.11533059]","[0.41249882 0.40019638 0.41301503 0.46384181 0.38936261 0.4629309
 0.44583603 0.44566068 0.46718146 0.4423347 ]","[0.03166652 0.08867764 0.06252813 0.06293607 0.14109635 0.06293917
 0.04728603 0.03124976 0.0785718  7.06067157]","[0.01152134 0.04180169 0.         0.01562548 0.04688025 0.04729438
 0.0156219  0.         0.04688168 5.76700616]","[0.         0.03124475 0.01562333 0.01663876 0.07155085 0.01564479
 0.0191443  0.01562405 0.01603889 0.57113576]"
28,10,gaussian,"[ 0.45369267  1.75613925 -1.69496947  1.85452735  4.27896989 -1.52625409
 -3.17907888  7.10115508 -1.35260645 -2.00564878]","[ 0.2003979   0.13765858  0.17190408  0.18053913  0.18013492  0.0502116
  0.12033197  0.06887848 -0.00225638  0.05215421]","[0.39980105 0.43117071 0.41404796 0.40973043 0.40993254 0.4748942
 0.43983401 0.46556076 0.50112819 0.4739229 ]","[0.03124928 4.92147255 0.10981321 0.07853436 0.26654053 0.09419632
 7.24909759 0.05239367 0.04690242 0.06293416]","[0.         3.06983662 0.04728556 0.03166533 0.0156486  0.0629108
 5.72588754 0.04687095 0.01564884 0.04730988]","[0.01562071 1.21141887 0.03127646 0.01565027 0.21963954 0.01565599
 1.04312587 0.         0.01563025 0.        ]"
29,10,gaussian,"[-0.42659216  2.68525505 -1.04852865  1.41802879  4.65910583 -2.58449856
  0.16655975  4.83202603  2.03443346 -2.61428581]","[0.1943008  0.17950442 0.1600608  0.21543692 0.13239044 0.07192277
 0.06364466 0.14990451 0.2643871  0.00687148]","[0.4028496  0.41024779 0.4199696  0.39228154 0.43380478 0.46403861
 0.46817767 0.42504774 0.36780645 0.49656426]","[0.03124809 0.09419227 0.17277002 0.06291223 3.23201895 0.04839277
 0.03127098 4.22067213 0.92587733 0.06292248]","[0.         0.04686785 0.10984397 0.03166366 2.18363881 0.03277183
 0.01562333 2.87042522 0.32739758 0.03165388]","[0.         0.02967572 0.00802088 0.01561999 0.4901998  0.01562095
 0.01564765 0.77604723 0.58285141 0.01564574]"
30,10,gaussian,"[-0.46338632 -0.49429825 -1.18766647  2.59664907  1.24030361 -0.60058701
  3.51434791  3.05940531 -3.00462879  2.27587953]","[0.18289256 0.19708597 0.13674728 0.12079649 0.15529754 0.05746403
 0.07387798 0.13038066 0.08294397 0.03103723]","[0.40855372 0.40145702 0.43162636 0.43960175 0.42235123 0.47126798
 0.46306101 0.43480967 0.45852802 0.48448139]","[0.34551263 0.06249261 0.05941558 0.06297207 0.06249332 0.07815099
 0.06295037 3.38938069 0.04687357 0.04730344]","[0.07812905 0.03125119 0.03127337 0.0378077  0.01561618 0.01562262
 0.03127122 2.27630115 0.01562333 0.03165388]","[0.         0.03124142 0.         0.02516437 0.01562333 0.03127646
 0.00652146 0.60872746 0.         0.        ]"
31,10,gaussian,"[ 0.05778666  0.23274274 -1.50354484  1.5221498   0.27544736  4.53869464
  0.32501572  1.81538196 -4.85321185 -0.41536472]","[0.20259268 0.11885175 0.17815759 0.18699871 0.14202191 0.04583168
 0.09134883 0.1224721  0.03637709 0.01232474]","[0.39870366 0.44057413 0.4109212  0.40650064 0.42898904 0.47708416
 0.45432558 0.43876395 0.48181145 0.49383763]","[0.         0.61200166 0.07855582 0.06351352 3.54549432 0.07855821
 0.05390644 0.04689717 0.04426813 0.09729409]","[0.         0.21697116 0.04728627 0.01562095 2.29145527 0.01562762
 0.03827953 0.01562881 0.01562786 0.08166409]","[0.         0.03124142 0.01562381 0.01664162 0.58694959 0.
 0.01562691 0.01564503 0.         0.        ]"
32,10,gaussian,"[ 0.05448132 -3.05903134  0.27752613 -3.26689029  0.67695496  0.85024781
  6.76495471  2.94342894 -1.89332681  1.29119263]","[0.23267407 0.21162287 0.14667446 0.13134543 0.04633962 0.16971701
 0.06076555 0.10735071 0.06219031 0.04813965]","[0.38366297 0.39418856 0.42666277 0.43432729 0.47683019 0.4151415
 0.46961722 0.44632465 0.46890485 0.47593018]","[0.         0.07856512 0.06249785 0.04679537 0.09420276 0.06289983
 0.06252408 2.74614191 0.04689074 0.04629707]","[0.         0.0316608  0.03124785 0.0311439  0.03126287 0.05938649
 0.0156436  1.40916324 0.03125119 0.01501989]","[0.         0.01562452 0.01562667 0.         0.         0.
 0.         1.05393887 0.         0.01564741]"
33,10,gaussian,"[-1.19443423  1.62536864 -1.06819993 -2.88973426 -1.56907008  1.61665214
  5.67585677  2.27213078 -1.86453407  5.21689562]","[0.11785793 0.24124305 0.15200997 0.11750317 0.15813184 0.20576545
 0.1215598  0.12066317 0.03421742 0.02234588]","[0.44107104 0.37937847 0.42399502 0.44124841 0.42093408 0.39711727
 0.4392201  0.43966841 0.48289129 0.48882706]","[1.20787621 0.06295109 0.15711832 4.37741613 4.26752853 1.74130607
 0.03168583 0.04687071 0.05142403 0.04729319]","[0.82451749 0.03127813 0.07857013 2.71397805 2.80992174 1.11119509
 0.01603556 0.03124309 0.02017665 0.04729319]","[0.         0.03167295 0.03125167 0.96815491 0.87137222 0.45177078
 0.         0.01562762 0.01562262 0.        ]"
34,10,gaussian,"[ 0.9680627  -3.5892877  -0.4376694   0.11400494 -2.93880744  3.98303926
  0.41003868  2.32542508 -2.56134126  3.50159573]","[ 0.2107935   0.21842288  0.09221122  0.13982242  0.12624755  0.18460282
  0.06284101  0.11523433  0.07896545 -0.22716678]","[0.39460325 0.39078856 0.45389439 0.43008879 0.43687623 0.40769859
 0.46857949 0.44238283 0.46051727 0.61358339]","[0.03125238 0.58080983 4.59692121 0.58076668 0.04790378 0.03127456
 0.36113906 0.03124928 0.06243038 0.65895677]","[0.01563263 0.22826791 2.76249194 0.18795347 0.0322783  0.03127456
 0.04687262 0.01562238 0.06243038 0.31385446]","[0.         0.02657223 1.1056869  0.06992364 0.         0.
 0.04729986 0.         0.         0.25793242]"
