,AV,SD,IR,VaR,MDD,P2T,P2P,P2PL,Calmar,Stability,Omega,Sortino,TailRatio,CSR,Kurtosis
1asset_sig_rev_ls,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
1asset_sig_rev_id,-53.03,42.36,-1.25,0.2,-2.64,729.0,,746.0,-0.2,0.74,0.81,-1.57,0.87,0.7,3.49
1asset_sig_pfrevers_sample,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_nls,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_ls,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_pfrevers_id,-21.34,25.09,-0.85,0.12,-1.75,712.0,,746.0,-0.12,0.87,0.77,-1.03,0.87,0.67,22.79
1asset_sig_prs_sample,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
1asset_sig_prs_nls,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
1asset_sig_prs_ls,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
1asset_sig_prs_id,31.21,42.45,0.74,0.2,-1.34,390.0,,746.0,0.23,0.21,1.14,1.14,1.09,1.24,3.62
5assets_sig_mtm_sample,16.85,48.2,0.35,0.22,-1.72,136.0,,746.0,0.1,0.55,1.06,0.49,1.03,1.1,12.41
5assets_sig_mtm_nls,17.0,48.17,0.35,0.22,-1.73,136.0,,746.0,0.1,0.56,1.06,0.49,1.0,1.07,11.89
5assets_sig_mtm_ls,17.91,48.12,0.37,0.22,-1.75,136.0,,746.0,0.1,0.6,1.07,0.52,1.01,1.08,9.32
5assets_sig_mtm_id,53.62,59.73,0.9,0.28,-1.53,136.0,442.0,442.0,0.35,0.86,1.16,1.35,1.08,1.25,1.81
5assets_sig_mcd_sample,-15.61,37.06,-0.42,0.17,-1.56,656.0,,746.0,-0.1,0.82,0.92,-0.6,0.94,0.87,37.05
5assets_sig_mcd_nls,-14.99,36.96,-0.41,0.17,-1.54,656.0,,746.0,-0.1,0.81,0.92,-0.58,0.96,0.88,35.72
5assets_sig_mcd_ls,-14.71,36.65,-0.4,0.17,-1.54,656.0,,746.0,-0.1,0.81,0.93,-0.57,0.95,0.88,28.72
5assets_sig_mcd_id,-16.97,45.77,-0.37,0.21,-1.74,460.0,,746.0,-0.1,0.64,0.94,-0.5,0.91,0.85,4.6
5assets_sig_mean_rev_sample,-36.68,34.36,-1.07,0.16,-2.23,729.0,,746.0,-0.16,0.86,0.83,-1.41,0.78,0.65,2.61
5assets_sig_mean_rev_nls,-36.23,34.38,-1.05,0.16,-2.21,729.0,,746.0,-0.16,0.85,0.83,-1.4,0.78,0.65,2.66
5assets_sig_mean_rev_ls,-33.6,34.35,-0.98,0.16,-2.13,729.0,,746.0,-0.16,0.83,0.84,-1.3,0.77,0.65,2.83
5assets_sig_mean_rev_id,3.49,45.08,0.08,0.21,-1.21,14.0,,746.0,0.03,0.02,1.01,0.11,1.02,1.03,3.62
5assets_sig_rev_sample,-14.25,39.38,-0.36,0.18,-1.61,136.0,,746.0,-0.09,0.11,0.93,-0.49,0.96,0.89,16.7
5assets_sig_rev_nls,-14.61,39.35,-0.37,0.18,-1.61,136.0,,746.0,-0.09,0.12,0.93,-0.5,0.96,0.89,16.08
5assets_sig_rev_ls,-14.84,38.96,-0.38,0.18,-1.61,136.0,,746.0,-0.09,0.14,0.93,-0.52,0.95,0.89,13.41
5assets_sig_rev_id,-30.07,47.27,-0.64,0.22,-1.92,742.0,,746.0,-0.16,0.62,0.89,-0.88,0.92,0.82,3.49
5assets_sig_pfrevers_sample,3.21,36.14,0.09,0.17,-1.38,47.0,,746.0,0.02,0.14,1.02,0.12,0.87,0.88,8.63
5assets_sig_pfrevers_nls,3.38,36.08,0.09,0.17,-1.38,47.0,,746.0,0.02,0.15,1.02,0.13,0.86,0.87,8.64
5assets_sig_pfrevers_ls,3.88,35.94,0.11,0.17,-1.4,47.0,,746.0,0.03,0.16,1.02,0.15,0.81,0.83,8.66
5assets_sig_pfrevers_id,4.36,42.32,0.1,0.2,-1.62,47.0,,746.0,0.03,0.3,1.02,0.14,0.99,1.01,7.49
5assets_sig_prs_sample,28.93,29.55,0.98,0.14,-1.07,10.0,,746.0,0.27,0.87,1.19,1.39,1.15,1.37,6.5
5assets_sig_prs_nls,28.88,29.53,0.98,0.14,-1.07,10.0,,746.0,0.27,0.87,1.19,1.39,1.15,1.36,6.55
5assets_sig_prs_ls,28.31,29.65,0.95,0.14,-1.07,10.0,,746.0,0.26,0.88,1.18,1.35,1.16,1.37,7.05
5assets_sig_prs_id,19.34,39.0,0.5,0.18,-1.17,143.0,,746.0,0.17,0.75,1.09,0.69,1.11,1.22,6.53
10assets_sig_mtm_sample,31.49,42.17,0.75,0.2,-1.51,136.0,,746.0,0.21,0.66,1.14,1.08,1.05,1.2,7.6
10assets_sig_mtm_nls,32.25,41.87,0.77,0.19,-1.5,135.0,,746.0,0.22,0.67,1.15,1.11,1.07,1.22,7.63
10assets_sig_mtm_ls,32.24,42.03,0.77,0.19,-1.5,135.0,,746.0,0.21,0.69,1.15,1.11,1.04,1.19,7.5
10assets_sig_mtm_id,57.03,60.73,0.94,0.28,-1.56,136.0,442.0,442.0,0.36,0.87,1.17,1.43,1.06,1.24,2.16
10assets_sig_mcd_sample,-35.4,30.54,-1.16,0.14,-2.05,739.0,,746.0,-0.17,0.92,0.79,-1.52,0.92,0.73,27.18
10assets_sig_mcd_nls,-35.27,30.27,-1.17,0.14,-2.05,739.0,,746.0,-0.17,0.92,0.79,-1.54,0.96,0.76,27.51
10assets_sig_mcd_ls,-35.78,30.31,-1.18,0.14,-2.06,739.0,,746.0,-0.17,0.92,0.79,-1.55,0.91,0.72,27.39
10assets_sig_mcd_id,-41.29,42.46,-0.97,0.2,-2.22,746.0,,746.0,-0.19,0.9,0.84,-1.25,0.87,0.73,8.29
10assets_sig_mean_rev_sample,11.47,28.4,0.4,0.13,-1.31,119.0,,746.0,0.09,0.55,1.07,0.6,0.89,0.96,3.42
10assets_sig_mean_rev_nls,9.1,28.3,0.32,0.13,-1.33,119.0,,746.0,0.07,0.51,1.06,0.47,0.89,0.94,3.17
10assets_sig_mean_rev_ls,8.83,28.25,0.31,0.13,-1.31,119.0,,746.0,0.07,0.5,1.06,0.46,0.89,0.94,3.32
10assets_sig_mean_rev_id,13.66,39.82,0.34,0.18,-1.14,14.0,,746.0,0.12,0.2,1.06,0.5,1.0,1.06,3.65
10assets_sig_rev_sample,19.27,31.74,0.61,0.15,-1.36,136.0,,746.0,0.14,0.64,1.12,0.94,1.09,1.23,18.32
10assets_sig_rev_nls,18.08,31.67,0.57,0.15,-1.38,135.0,,746.0,0.13,0.63,1.12,0.88,1.09,1.21,18.16
10assets_sig_rev_ls,17.95,31.76,0.57,0.15,-1.38,136.0,,746.0,0.13,0.63,1.12,0.87,1.1,1.23,18.03
10assets_sig_rev_id,-16.66,46.09,-0.36,0.21,-1.65,136.0,,746.0,-0.1,0.14,0.94,-0.53,0.97,0.9,6.73
10assets_sig_pfrevers_sample,8.86,33.76,0.26,0.16,-1.39,47.0,,746.0,0.06,0.31,1.05,0.37,0.93,0.98,11.56
10assets_sig_pfrevers_nls,7.8,33.61,0.23,0.16,-1.4,47.0,,746.0,0.06,0.3,1.05,0.33,0.91,0.96,11.65
10assets_sig_pfrevers_ls,7.51,33.48,0.22,0.16,-1.4,47.0,,746.0,0.05,0.29,1.05,0.32,0.93,0.97,11.56
10assets_sig_pfrevers_id,5.56,40.63,0.14,0.19,-1.63,47.0,,746.0,0.03,0.39,1.03,0.19,1.04,1.06,7.97
10assets_sig_prs_sample,-0.9,23.8,-0.04,0.11,-1.17,282.0,,746.0,-0.01,0.04,0.99,-0.05,0.99,0.98,18.96
10assets_sig_prs_nls,-0.79,23.62,-0.03,0.11,-1.18,282.0,,746.0,-0.01,0.03,0.99,-0.04,1.02,1.01,17.87
10assets_sig_prs_ls,-0.27,23.73,-0.01,0.11,-1.17,282.0,,746.0,-0.0,0.01,1.0,-0.01,1.02,1.01,19.04
10assets_sig_prs_id,4.47,35.28,0.13,0.16,-1.29,286.0,,746.0,0.03,0.34,1.02,0.17,1.04,1.07,15.34
